Province code;Province name;Total;Males;Females;Gender parity index 
;  Türkiye;9,3;10,1;8,6;0,85
1;  Adana;9,2;9,9;8,5;0,85
2;  Adıyaman;8,6;9,6;7,5;0,78
3;  Afyonkarahisar;8,5;9,5;7,6;0,80
4;  Ağrı;7,4;8,8;6,0;0,68
5;  Amasya;8,8;9,7;7,9;0,82
6;  Ankara;10,7;11,3;10,1;0,89
7;  Antalya;9,8;10,2;9,3;0,91
8;  Artvin;9,2;10,2;8,2;0,80
9;  Aydın;9,0;9,6;8,5;0,88
10;  Balıkesir;9,0;9,7;8,4;0,86
11;  Bilecik;9,3;10,0;8,5;0,85
12;  Bingöl;8,9;10,0;7,9;0,79
13;  Bitlis;8,5;9,8;7,1;0,72
14;  Bolu;9,1;9,9;8,4;0,84
15;  Burdur;8,8;9,6;8,0;0,84
16;  Bursa;9,5;10,2;8,9;0,87
17;  Çanakkale;9,3;9,9;8,7;0,88
18;  Çankırı;8,5;9,5;7,5;0,80
19;  Çorum;8,2;9,1;7,3;0,81
20;  Denizli;9,1;9,7;8,6;0,88
21;  Diyarbakır;8,4;9,7;7,1;0,73
22;  Edirne;9,0;9,5;8,4;0,89
23;  Elazığ;9,0;10,3;7,8;0,76
24;  Erzincan;9,2;10,2;8,1;0,79
25;  Erzurum;8,7;10,0;7,5;0,75
26;  Eskişehir;10,0;10,7;9,3;0,87
27;  Gaziantep;8,7;9,6;7,8;0,81
28;  Giresun;8,4;9,4;7,5;0,80
29;  Gümüşhane;8,7;9,8;7,6;0,78
30;  Hakkari;9,6;10,6;8,4;0,80
31;  Hatay;8,6;9,3;7,8;0,84
32;  Isparta;9,4;10,3;8,6;0,84
33;  Mersin;9,1;9,8;8,5;0,86
34;  İstanbul;10,1;10,6;9,7;0,91
35;  İzmir;9,8;10,3;9,4;0,91
36;  Kars;8,3;9,4;7,2;0,77
37;  Kastamonu;8,0;9,0;7,1;0,79
38;  Kayseri;9,3;10,1;8,5;0,84
39;  Kırklareli;9,3;9,8;8,7;0,89
40;  Kırşehir;9,0;10,0;8,0;0,81
41;  Kocaeli;9,9;10,5;9,2;0,87
42;  Konya;8,9;9,7;8,0;0,82
43;  Kütahya;8,6;9,6;7,6;0,79
44;  Malatya;9,0;10,0;7,9;0,79
45;  Manisa;8,5;9,2;7,9;0,86
46;  Kahramanmaraş;8,5;9,5;7,5;0,79
47;  Mardin;8,1;9,5;6,7;0,70
48;  Muğla;9,7;10,1;9,3;0,93
49;  Muş;8,0;9,2;6,6;0,72
50;  Nevşehir;8,9;9,7;8,1;0,84
51;  Niğde;8,6;9,4;7,8;0,83
52;  Ordu;8,2;9,1;7,3;0,81
53;  Rize;9,1;10,0;8,3;0,83
54;  Sakarya;9,3;10,0;8,6;0,86
55;  Samsun;8,8;9,5;8,2;0,86
56;  Siirt;8,5;10,2;6,7;0,65
57;  Sinop;8,2;8,9;7,4;0,83
58;  Sivas;8,7;9,7;7,7;0,80
59;  Tekirdağ;9,4;9,9;8,8;0,89
60;  Tokat;8,3;9,3;7,4;0,80
61;  Trabzon;9,3;10,2;8,4;0,82
62;  Tunceli;9,4;10,3;8,4;0,81
63;  Şanlıurfa;7,6;9,1;6,0;0,67
64;  Uşak;8,8;9,5;8,1;0,85
65;  Van;8,0;9,5;6,5;0,69
66;  Yozgat;8,3;9,3;7,3;0,79
67;  Zonguldak;8,5;9,5;7,6;0,80
68;  Aksaray;8,5;9,3;7,6;0,82
69;  Bayburt;8,9;10,1;7,7;0,76
70;  Karaman;8,9;9,6;8,2;0,85
71;  Kırıkkale;9,3;10,4;8,2;0,79
72;  Batman;8,9;10,2;7,6;0,75
73;  Şırnak;8,7;10,2;7,1;0,70
74;  Bartın;8,3;9,2;7,4;0,80
75;  Ardahan;8,3;9,2;7,2;0,78
76;  Iğdır;8,4;9,3;7,4;0,79
77;  Yalova;9,8;10,4;9,2;0,88
78;  Karabük;9,0;10,0;8,1;0,81
79;  Kilis;9,3;10,0;8,6;0,86
80;  Osmaniye;9,1;10,0;8,3;0,83
81;  Düzce;9,0;9,8;8,2;0,84
